"Date","Price","Open","High","Low","Change %"
"Nov 08, 2018","0.01490","0.01510","0.01510","0.01490","-1.32%"
"Nov 07, 2018","0.01510","0.01510","0.01520","0.01510","0.00%"
"Nov 06, 2018","0.01510","0.01510","0.01520","0.01510","0.00%"
"Nov 05, 2018","0.01510","0.01510","0.01520","0.01500","-0.03%"
"Nov 04, 2018","0.01511","0.01511","0.01511","0.01511","0.03%"
"Nov 02, 2018","0.01510","0.01520","0.01530","0.01510","-0.66%"
"Nov 01, 2018","0.01520","0.01520","0.01530","0.01520","0.00%"
"Oct 31, 2018","0.01520","0.01530","0.01530","0.01520","-0.65%"
"Oct 30, 2018","0.01530","0.01520","0.01530","0.01520","0.66%"
"Oct 29, 2018","0.01520","0.01520","0.01530","0.01520","-0.11%"
"Oct 28, 2018","0.01522","0.01522","0.01522","0.01522","0.11%"
"Oct 26, 2018","0.01520","0.01520","0.01530","0.01520","0.00%"
"Oct 25, 2018","0.01520","0.01520","0.01530","0.01520","0.00%"
"Oct 24, 2018","0.01520","0.01530","0.01540","0.01520","-0.65%"
"Oct 23, 2018","0.01530","0.01530","0.01530","0.01520","0.00%"
"Oct 22, 2018","0.01530","0.01530","0.01540","0.01520","0.20%"
"Oct 21, 2018","0.01527","0.01527","0.01527","0.01527","-0.20%"
"Oct 19, 2018","0.01530","0.01520","0.01530","0.01520","0.66%"
"Oct 18, 2018","0.01520","0.01530","0.01530","0.01520","-0.65%"
"Oct 17, 2018","0.01530","0.01530","0.01530","0.01520","0.00%"
"Oct 16, 2018","0.01530","0.01520","0.01530","0.01520","0.66%"
"Oct 15, 2018","0.01520","0.01510","0.01530","0.01510","0.50%"
"Oct 14, 2018","0.01512","0.01512","0.01512","0.01512","0.16%"
"Oct 12, 2018","0.01510","0.01510","0.01520","0.01500","0.00%"
"Oct 11, 2018","0.01510","0.01490","0.01520","0.01490","1.00%"
"Oct 10, 2018","0.01495","0.01515","0.01515","0.01495","-0.99%"
"Oct 09, 2018","0.01510","0.01500","0.01510","0.01490","0.67%"
"Oct 08, 2018","0.01500","0.01500","0.01500","0.01490","-0.13%"
"Oct 07, 2018","0.01502","0.01502","0.01502","0.01502","0.13%"
"Oct 05, 2018","0.01500","0.01490","0.01510","0.01490","0.67%"
"Oct 04, 2018","0.01490","0.01520","0.01520","0.01490","-1.97%"
"Oct 03, 2018","0.01520","0.01530","0.01530","0.01520","-0.65%"
"Oct 02, 2018","0.01530","0.01540","0.01540","0.01520","-0.65%"
"Oct 01, 2018","0.01540","0.01520","0.01540","0.01520","0.95%"
"Sep 30, 2018","0.01526","0.01526","0.01526","0.01526","0.36%"
"Sep 28, 2018","0.01520","0.01520","0.01530","0.01520","0.00%"
"Sep 27, 2018","0.01520","0.01520","0.01530","0.01510","0.00%"
"Sep 26, 2018","0.01520","0.01520","0.01520","0.01510","0.00%"
"Sep 25, 2018","0.01520","0.01520","0.01530","0.01510","0.00%"
"Sep 24, 2018","0.01520","0.01500","0.01520","0.01500","0.95%"
"Sep 23, 2018","0.01506","0.01506","0.01506","0.01506","0.05%"
"Sep 21, 2018","0.01505","0.01515","0.01515","0.01505","-0.33%"
"Sep 20, 2018","0.01510","0.01500","0.01510","0.01490","0.67%"
"Sep 19, 2018","0.01500","0.01480","0.01500","0.01480","1.01%"
"Sep 18, 2018","0.01485","0.01475","0.01495","0.01465","1.02%"
"Sep 17, 2018","0.01470","0.01460","0.01470","0.01460","0.07%"
"Sep 16, 2018","0.01469","0.01469","0.01469","0.01469","-0.07%"
"Sep 14, 2018","0.01470","0.01460","0.01480","0.01460","0.34%"
"Sep 13, 2018","0.01465","0.01455","0.01475","0.01455","1.03%"
"Sep 12, 2018","0.01450","0.01440","0.01460","0.01430","0.69%"
"Sep 11, 2018","0.01440","0.01420","0.01440","0.01410","1.41%"
"Sep 10, 2018","0.01420","0.01430","0.01430","0.01420","-0.74%"
